PROPERTY_ID,PROPERTY_TYPE,SQUARE_FOOTAGE,BEDROOMS,BATHROOMS,PROPERTY_AGE,LOT_SIZE,LATITUDE,LONGITUDE,TAX_2024,TOTAL_VALUE_2023
"728-N-162nd-St,-Omaha,-NE-68118",Single Family,3335.0,4.0,4.0,33,22692.0,41.269264,-96.168014,12350.0,149390.0
"5405-S-Sellas-St,-Tampa,-FL-33611",Single Family,1316.0,3.0,2.0,54,7500.0,27.885552,-82.488545,566.0,93141.0
"628-Reynolds-St,-Elmira,-NY-14904",Single Family,1260.0,3.0,1.0,96,5650.0,42.068496,-76.809744,3739.0,43000.0
"4191-N-Poplar-Rd,-Lincoln,-MI-48742",Single Family,1584.0,3.0,2.0,46,8276.0,44.776711,-83.41912,3739.0,149390.0
"263-W-Shirley-Ave,-Edison,-NJ-08820",Single Family,1419.0,3.0,2.0,64,11000.0,40.5989,-74.345165,3739.0,190200.0
"1253-Mcgavock-Pike,-Nashville,-TN-37216",Single Family,1517.0,2.0,1.0,91,25700.0,36.204263,-86.727629,2768.0,85075.0
"921-Sw-Bay-State-Rd,-Port-Saint-Lucie,-FL-34953",Single Family,1611.0,3.0,2.0,41,10000.0,27.276488,-80.37516,3559.0,281300.0
"1008-Water-Cove-St,-Henderson,-NV-89011",Single Family,1843.0,3.0,2.5,12,3920.0,36.078463,-114.979507,3739.0,138285.0
"2050-Finley-Rd,-Memphis,-TN-38116",Single Family,2366.0,4.0,2.0,64,11021.0,35.030369,-89.995527,3739.0,149390.0
"115-Mohawk-St,-Port-Jervis,-NY-12771",Single Family,985.0,2.0,1.0,70,6000.0,41.382842,-74.677735,3739.0,47500.0
"669-Cummins-Hwy,-Mattapan,-MA-02126",Single Family,1272.0,3.0,1.5,92,3967.0,42.270937,-71.10411,3757.0,149390.0
"4116-Sabre-Aly,-Blue-Ash,-OH-45242",Single Family,3772.0,3.0,4.5,6,6996.0,39.244531,-84.391046,3739.0,373517.0
"3012-Rustic-Ln,-Charlotte,-NC-28210",Single Family,3096.0,4.0,2.5,56,15236.0,35.139907,-80.822356,3739.0,740400.0
"23470-Fordson-Dr,-Dearborn,-MI-48124",Single Family,2000.0,4.0,3.5,84,4792.0,42.30812,-83.265057,3739.0,149390.0
"822-7th-St,-Marysville,-CA-95901",Multi-Family,1910.0,4.0,2.0,106,4108.0,39.141804,-121.596189,2509.0,210233.0
"852-Blackcomb-Dr,-Cincinnati,-OH-45244",Land,1440.0,3.0,2.5,4,3419.0,39.117059,-84.295962,3739.0,81840.0
"1601-Marina-Isle-Way,-Apt-402,-Jupiter,-FL-33477",Condo,1385.0,2.0,2.0,41,8276.0,26.892558,-80.070391,7341.0,440000.0
"1209-W-School-St,-Claremore,-OK-74017",Single Family,1144.0,3.0,1.0,60,8936.0,36.320203,-95.624978,880.0,10213.0
"1081-River-Wind-Cir,-Vero-Beach,-FL-32967",Single Family,3119.0,3.0,4.0,10,10890.0,27.6742,-80.392458,10413.0,789646.0
"9530-Morning-Walk-Dr,-Hagerstown,-MD-21740",Single Family,3532.0,4.0,2.5,21,13939.0,39.5752,-77.728128,3739.0,149390.0
"137-Van-Buren-St,-Freeport,-FL-32439",Single Family,1092.0,3.0,1.0,63,81893.0,30.495301,-86.141641,3739.0,76575.0
"14623-Copeland-Way,-Brooksville,-FL-34604",Single Family,2409.0,4.0,3.0,20,21780.0,28.48787,-82.481846,2439.0,197699.0
"490-N-Allendale-Ave,-Sarasota,-FL-34237",Single Family,1118.0,3.0,2.0,19,7369.0,27.340916,-82.51275,3783.0,149390.0
"12642-Indian-Oaks-Dr,-Bella-Vista,-CA-96008",Single Family,2770.0,4.0,3.0,37,97574.0,40.65514,-122.198064,6438.0,149390.0
"470-Brackin-Trce,-Grayson,-GA-30017",Single Family,2175.0,4.0,2.5,32,24829.0,33.904363,-83.963829,911.0,159160.0
"470-Brackin-Trce,-Grayson,-GA-30017",Single Family,2175.0,4.0,2.5,32,24829.0,33.904363,-83.963829,911.0,159160.0
"7806-Read-Plz,-Omaha,-NE-68122",Townhouse,2130.0,3.0,1.0,47,7405.0,41.323694,-96.033641,3111.0,133900.0
"806-E-Windward-Way,-Apt-609,-Lantana,-FL-33462",Condo,839.0,1.0,1.0,21,43560.0,26.591549,-80.049882,4327.0,149390.0
"1504-Englewood-St,-Bethlehem,-PA-18017",Single Family,1064.0,3.0,1.0,67,8930.0,40.635031,-75.353782,4729.0,53500.0
"418-N-Jackson-St,-Seaside,-OR-97138",Single Family,1041.0,3.0,1.0,118,4356.0,45.997064,-123.921329,1629.0,139818.0
"937-Tucana-Dr,-San-Marcos,-CA-92078",Single Family,3461.0,5.0,4.0,12,11476.0,33.109966,-117.183377,11750.0,972724.0
"1607-Wilson-W-Lee-Blvd,-Statesville,-NC-28677",Single Family,1998.0,3.0,1.0,79,16117.0,35.762557,-80.891531,764.0,69190.0
"1986-Summercrest-Dr-S,-Salem,-OR-97306",Single Family,1372.0,3.0,2.0,47,7405.0,44.879709,-123.071014,3801.0,187970.0
"1284-Sycamore-St,-Elgin,-IL-60123",Single Family,2740.0,4.0,2.5,29,10019.0,41.998329,-88.329251,3739.0,131316.0
"21032-Sw-Modena-Way,-Port-Saint-Lucie,-FL-34986",Single Family,1620.0,2.0,2.0,8,5227.0,27.314323,-80.444231,5786.0,341300.0
"4050-Skyline-Dr,-Gainesville,-GA-30501",Single Family,1584.0,3.0,2.5,3,13504.0,34.374223,-83.749904,3739.0,149390.0
"11821-Charlemagne-Dr,-Maryland-Heights,-MO-63043",Condo,1088.0,2.0,1.5,51,1089.0,38.725585,-90.447728,3739.0,28100.0
"1116-Elkelton-Blvd,-Spring-Valley,-CA-91977",Single Family,1282.0,3.0,1.5,67,8800.0,32.715703,-117.01775,3598.0,149390.0
"2928-Washington-Blvd,-Cleveland-Heights,-OH-44118",Single Family,2334.0,4.0,3.5,109,10836.0,41.503862,-81.57559,3739.0,67770.0
"310-Patterson-Rd,-Santa-Maria,-CA-93455",Single Family,1752.0,3.0,2.0,47,10018.0,34.868493,-120.432615,4380.0,286915.0
"3869-N-Chamberlain-Blvd,-North-Port,-FL-34286",Single Family,1373.0,3.0,2.0,28,19545.0,27.089394,-82.162743,4566.0,285400.0
"4506-Major-Ave,-Madison,-WI-53716",Single Family,956.0,2.0,1.0,81,8111.0,43.075663,-89.314244,4418.0,149390.0
"14844-N-El-Pueblo-Blvd,-Fountain-Hills,-AZ-85268",Single Family,3119.0,4.0,4.0,31,11922.0,33.622035,-111.702777,2851.0,58720.0
"16330-Justine-St,-Markham,-IL-60428",Single Family,1161.0,3.0,1.5,62,5805.0,41.59273,-87.655047,3739.0,13899.0
"19725-J-St,-Omaha,-NE-68135",Single Family,2584.0,4.0,3.0,13,10890.0,41.21453,-96.223715,10550.0,395000.0
"10261-Fountain-Cir,-Manassas,-VA-20110",Single Family,1820.0,3.0,2.5,16,1958.0,38.735022,-77.475613,4639.0,368200.0
"1660-Glider-Ct,-Newbury-Park,-CA-91320",Single Family,2891.0,4.0,3.5,29,5662.0,34.191884,-118.915183,13380.0,983838.0
"5405-S-Sellas-St,-Tampa,-FL-33611",Single Family,1316.0,3.0,2.0,54,7500.0,27.885552,-82.488545,566.0,93141.0
"3568-Boettler-St-NE,-Canton,-OH-44721",Multi-Family,1456.0,4.0,2.0,50,17019.0,40.885238,-81.31348,3739.0,47010.0
"312-W-Doane-Ave,-Eustis,-FL-32726",Single Family,1882.0,4.0,2.0,3,7344.0,28.8426,-81.689625,5620.0,149390.0
"557-Fenton-Ave-NW,-Port-Charlotte,-FL-33952",Single Family,1220.0,3.0,2.0,39,9999.0,26.974068,-82.117954,1756.0,149390.0
"140-Soren-Ln,-Anderson,-SC-29621",Land,1584.0,3.0,2.0,46,8276.0,34.530536,-82.612839,515.0,1340.0
"800-Parkview-Dr,-Apt-1019,-Hallandale-Beach,-FL-33009",Condo,1130.0,2.0,2.0,50,8276.0,25.994944,-80.120876,6364.0,306230.0
"7130-Cleveland-St,-South-Solon,-OH-43153",Single Family,1120.0,3.0,1.0,67,9174.0,39.738666,-83.61045,3739.0,28110.0
"5644-Hamilton-St,-Apt-67,-Sacramento,-CA-95842",Condo,844.0,1.0,1.0,42,8276.0,38.669634,-121.363892,379.0,38102.0
"64-E-Windsor-Rd,-Memphis,-TN-38109",Single Family,896.0,2.0,1.0,65,43560.0,34.999713,-90.06188,3739.0,9250.0
"2383-Sovron-Ct,-Dublin,-OH-43016",Single Family,2098.0,4.0,2.5,49,15987.0,40.12817,-83.079355,3739.0,129120.0
"10216-Bushman-Dr,-Apt-204,-Oakton,-VA-22124",Condo,1136.0,2.0,2.0,50,8276.0,38.872592,-77.297253,1818.0,296140.0
"3591-Sacramento-Dr,-Apt-53,-San-Luis-Obispo,-CA-93401",Condo,1659.0,3.0,2.0,19,1695.0,35.25491,-120.64436,4345.0,392356.0
"30774-Calle-Chueca,-San-Juan-Capistrano,-CA-92675",Single Family,1187.0,2.0,1.5,62,1499.0,33.515356,-117.666394,2597.0,215977.0
"302-Hollybrook-Dr,-Midland,-MI-48642",Single Family,1631.0,4.0,1.5,58,13068.0,43.645965,-84.224233,3739.0,149390.0
"5077-Nw-7th-St,-Apt-411,-Miami,-FL-33126",Condo,685.0,1.0,1.0,23,685.0,25.778412,-80.278034,1926.0,149390.0
"3219-Heights-Pl,-Bellingham,-WA-98226",Single Family,1218.0,4.0,3.0,52,11761.0,48.768765,-122.429176,3739.0,149390.0
"10S071-Springbrook-Dr,-Naperville,-IL-60565",Single Family,2662.0,4.0,3.0,52,23522.0,41.725563,-88.163809,3739.0,136082.0
"662-Hastings-Cir-E,-Memphis,-TN-38107",Single Family,1262.0,3.0,1.0,34,5663.0,35.158315,-90.026056,3739.0,12625.0
"12-Hill-St,-Hanover,-PA-17331",Single Family,2094.0,3.0,1.5,57,10846.0,39.784836,-76.98049,5354.0,149390.0
"1111-Horizon-Dr,-Apt-210,-Grand-Junction,-CO-81506",Condo,918.0,2.0,2.0,42,43560.0,39.100959,-108.553811,766.0,149390.0
"1085-Audubon-Dr,-Waterford,-MI-48328",Condo,1156.0,2.0,2.0,37,30013.0,42.623613,-83.352725,3739.0,101050.0
"43991-Falmouth-Ct,-Ashburn,-VA-20147",Single Family,1614.0,3.0,3.5,38,1307.0,39.059602,-77.478749,4489.0,480610.0
"435-Virginia-Ave,-Unit-508,-Indianapolis,-IN-46203",Condo,1826.0,2.0,2.0,20,378.0,39.76056,-86.149009,3739.0,422200.0
"3103-S-Dove-Ct,-Camp-Verde,-AZ-86322",Manufactured,992.0,3.0,2.0,37,9148.0,34.523863,-111.782063,3739.0,149390.0
"30730-Palmetto-Palm-Ave,-Homeland,-CA-92548",Manufactured,1344.0,2.0,2.0,48,4791.0,33.740403,-117.12331,2167.0,200000.0
"18934-Sw-313th-Ter,-Homestead,-FL-33030",Single Family,1640.0,3.0,1.0,54,10800.0,25.475338,-80.498889,1157.0,87859.0
"110-N-Federal-Hwy,-Apt-915,-Fort-Lauderdale,-FL-33301",Condo,1208.0,2.0,2.0,21,8276.0,26.123241,-80.136774,7812.0,430130.0
"11228-S-Harvard-Blvd,-Los-Angeles,-CA-90047",Single Family,1029.0,3.0,1.0,79,5453.0,33.932001,-118.306167,9100.0,693600.0
"7286-E-Bobwhite-Ct,-San-Tan-Valley,-AZ-85143",Single Family,1866.0,3.0,2.0,8,6098.0,33.161715,-111.488097,1338.0,33161.0
"2406-Ellsworth-Way,-Apt-1B,-Frederick,-MD-21702",Condo,1148.0,2.0,2.0,33,1148.0,39.453232,-77.449887,3739.0,149390.0
"175-Masters-Dr,-Sumter,-SC-29154",Single Family,1926.0,3.0,4.0,12,6534.0,33.872282,-80.360115,3739.0,149390.0
"101-Summit-Dr,-Maumelle,-AR-72113",Single Family,2317.0,3.0,2.0,14,14375.0,34.86798,-92.425418,3613.0,149390.0
"32215-Sunny-Ln,-Black-Diamond,-WA-98010",Single Family,1350.0,3.0,1.0,33,7588.0,47.312363,-122.023428,4289.0,149390.0
"170-N-Little-Tor-Rd,-New-City,-NY-10956",Single Family,2328.0,3.0,2.5,66,24394.0,41.158907,-74.003658,3739.0,132400.0
"60-Marina-Court-Dr,-San-Rafael,-CA-94901",Single Family,2377.0,4.0,3.0,6,5310.0,37.968713,-122.508656,22241.0,1630306.0
"3217-52nd-St-W,-Lehigh-Acres,-FL-33971",Land,1584.0,3.0,2.0,46,10890.0,26.662898,-81.683395,395.0,10517.0
"3128-61st-Ter-E,-Ellenton,-FL-34222",Single Family,1844.0,4.0,2.0,3,8289.0,27.542667,-82.502356,4650.0,63750.0
"18251-Sw-99th-Ln,-Dunnellon,-FL-34432",Single Family,1812.0,3.0,2.0,30,9148.0,29.079532,-82.423858,1988.0,143459.0
"4435-E-Observatory,-West-Chester,-OH-45069",Single Family,3772.0,4.0,2.5,7,25138.0,39.369748,-84.475693,8587.0,149390.0
"4005-Banbury-St,-Windsor,-WI-53598",Single Family,1866.0,3.0,2.0,2,11631.0,43.209369,-89.326424,3739.0,94100.0
"5413-Rayburn-Rd,-Louisville,-KY-40272",Single Family,925.0,3.0,1.0,55,11286.0,38.0922,-85.869451,1503.0,149390.0
"185-W-End-Ave,-Apt-7E,-New-York,-NY-10023",Condo,550.0,0.0,1.0,64,110653.0,40.777527,-73.986746,3739.0,149390.0
"342-San-Luis-Way,-Blythe,-CA-92225",Single Family,1680.0,4.0,1.0,55,6534.0,33.614784,-114.610692,2651.0,121380.0
"383-Evanston-Rd,-Unit-618,-Kingsford-Heights,-IN-46346",Single Family,935.0,3.0,1.0,84,13582.0,41.481774,-86.692509,3739.0,149390.0
"147-Myers-Ave,-Akron,-OH-44305",Single Family,1169.0,3.0,2.0,112,3402.0,41.078187,-81.492114,3739.0,14350.0
"11865-Marabou-Ct-N,-Jacksonville,-FL-32223",Single Family,1606.0,3.0,2.0,41,10530.0,30.157333,-81.619192,4980.0,279247.0
"543-Fassett-St,-Algonac,-MI-48001",Single Family,989.0,3.0,1.0,55,6098.0,42.618187,-82.542513,3739.0,54000.0
"713-California-Ave,-Shafter,-CA-93263",Single Family,1675.0,3.0,2.0,76,8276.0,35.506842,-119.272077,3573.0,276855.0
"34-Pillsbury-St,-South-Portland,-ME-04106",Single Family,1008.0,2.0,1.0,55,11761.0,43.638108,-70.23173,5972.0,342900.0
"233-Merriman-Ave,-Syracuse,-NY-13204",Land,2558.0,6.0,2.0,101,5500.0,43.040043,-76.166795,3739.0,2500.0
"123-Eastwick-Ct,-Hillsborough,-NJ-08844",Single Family,1741.0,3.0,2.0,41,3726.0,40.51045,-74.654704,3739.0,149390.0
"18-Ashton-St,-Pawtucket,-RI-02860",Apartment,2965.0,6.0,6.0,106,8474.0,41.879043,-71.370506,8880.0,288900.0
"3426-S-31st-St,-Tacoma,-WA-98409",Single Family,1674.0,3.0,3.0,19,1834.0,47.232291,-122.480934,4473.0,396000.0
"1522-Eastbrook-Dr,-Sarasota,-FL-34231",Single Family,2875.0,3.0,3.0,58,15112.0,27.294201,-82.535626,4499.0,344469.0
"941-King-Mill-Rd,-Mcdonough,-GA-30252",Single Family,1191.0,3.0,2.0,30,145926.0,33.408146,-84.108848,2543.0,149390.0
"2122-Bradford-Ln,-Newcastle,-OK-73065",Single Family,1723.0,4.0,2.0,13,7771.0,35.273136,-97.593078,3178.0,26400.0
"204-N-Barry-St,-Olean,-NY-14760",Multi-Family,2950.0,8.0,5.0,96,6500.0,42.079851,-78.427536,3739.0,61000.0
"117-Northview-Ave,-Smelterville,-ID-83868",Single Family,1271.0,2.0,1.0,98,12502.0,47.542636,-116.174553,42.0,149390.0
"3312-Spanish-Wells-Dr,-Unit-47B,-Delray-Beach,-FL-33445",Condo,1232.0,2.0,2.5,46,8276.0,26.438433,-80.109913,5337.0,280000.0
"5544-Prospectors-Creek-Way,-Las-Vegas,-NV-89122",Single Family,1954.0,4.0,2.5,21,3049.0,36.088036,-115.021377,3739.0,149390.0
"935-Ridge-Gate-Dr,-Lewisville,-NC-27023",Single Family,2416.0,4.0,3.5,37,20038.0,36.088531,-80.392733,3194.0,323000.0
"767-Siebert-St,-Columbus,-OH-43206",Single Family,1043.0,2.0,1.0,103,5009.0,39.941715,-82.975879,3739.0,28000.0
"446-Raindance-Pl,-Henderson,-NV-89014",Single Family,1876.0,4.0,2.5,37,6534.0,36.059908,-115.061214,3739.0,84448.0
"16522-Irby-Ln,-Huntington-Beach,-CA-92647",Single Family,2168.0,3.0,2.5,37,5035.0,33.722616,-117.98133,8779.0,750865.0
"151-Courts,-of-Hampton,-Hampton,-GA-30228",Single Family,3517.0,4.0,3.0,24,39640.0,33.414267,-84.256396,3739.0,149390.0
"15580-Chole-Rd,-Apple-Valley,-CA-92307",Single Family,3954.0,6.0,3.0,21,44150.0,34.534461,-117.25115,5518.0,149390.0
"18416-Clear-Smoke-Rd,-Boyds,-MD-20841",Single Family,2100.0,4.0,2.5,23,5803.0,39.160932,-77.301982,7330.0,515700.0
"927-E-Rittenhouse-St,-Philadelphia,-PA-19138",Single Family,1751.0,3.0,1.0,111,2633.0,40.049239,-75.164551,2089.0,149390.0
"529-Millburn-Ave,-Short-Hills,-NJ-07078",Unknown,1584.0,3.0,2.0,46,8276.0,40.719402,-74.32128,3739.0,149390.0
"1821-Starboard-Ct,-Toms-River,-NJ-08753",Single Family,1411.0,2.0,2.0,59,9409.0,39.992595,-74.144911,3739.0,149390.0
"5071-Cumberland-Ln,-Spring-Hill,-FL-34607",Single Family,3118.0,3.0,3.0,23,47916.0,28.506201,-82.601627,4126.0,312818.0
"60-Gramercy-Park-N,-Unit-1M,-Manhattan,-NY-10010",Condo,1584.0,2.0,2.5,98,16434.0,40.738863,-73.986213,3739.0,149390.0
"2112-Swannanoa-Ave,-Kingsport,-TN-37664",Single Family,1924.0,3.0,2.0,66,8712.0,36.528625,-82.528181,3739.0,149390.0
"117-Percy-Ave,-Greenville,-SC-29609",Single Family,2972.0,3.0,2.5,9,17860.0,34.923499,-82.341398,2795.0,13560.0
"1095-Elmore-St,-Green-Bay,-WI-54303",Apartment,1584.0,2.0,1.0,46,8276.0,44.528002,-88.035734,3739.0,149390.0
"293-Summer-St,-Arlington,-MA-02474",Multi-Family,1823.0,4.0,2.0,78,7588.0,42.423464,-71.167426,8413.0,760700.0
"2152-Ivydale-St,-Atlanta,-GA-30344",Single Family,956.0,2.0,1.0,76,13939.0,33.696454,-84.46791,3739.0,92160.0
"30760-Provision-Ln,-Denham-Springs,-LA-70726",Single Family,1475.0,3.0,2.0,29,10019.0,30.509702,-90.930952,3739.0,14400.0
"7700-N-Spalding-Lake-Dr,-Atlanta,-GA-30350",Single Family,4721.0,5.0,4.5,38,33585.0,33.966898,-84.284884,3739.0,324440.0
"390-Robin-Ct,-Sierra-Vista,-AZ-85635",Townhouse,1184.0,3.0,2.0,23,2614.0,31.562153,-110.295256,830.0,11033.0
"3851-N-Smedley-St,-Philadelphia,-PA-19140",Single Family,1553.0,4.0,1.0,86,1240.0,40.012516,-75.154425,1543.0,149390.0
"1224-Talley-Dr,-Clarksville,-TN-37040",Single Family,1210.0,3.0,1.0,78,13504.0,36.52136,-87.342514,1638.0,23975.0
"10-Mountain-Laurels-Dr,-Apt-501,-Nashua,-NH-03062",Condo,1017.0,1.0,1.5,41,8276.0,42.706984,-71.471631,3739.0,265800.0
"5008-Ortega-Cir-NW,-Huntsville,-AL-35810",Single Family,1714.0,3.0,1.0,63,11805.0,34.791764,-86.596184,827.0,13080.0
"220-W-Pkwy,-Ste-12,-Pompton-Plains,-NJ-07444",Condo,1584.0,3.0,2.0,46,8276.0,40.980527,-74.30713,3739.0,149390.0
"75110-Nassau-Station-Way,-Yulee,-FL-32097",Single Family,1705.0,4.0,2.0,5,6960.0,30.610411,-81.61515,4169.0,255300.0
"44-N-Morris-St,-Saint-Clair,-PA-17970",Single Family,1421.0,3.0,1.0,113,1307.0,40.721743,-76.187931,784.0,12740.0
"16327-Eugene-Siegel-Ct,-Crest-Hill,-IL-60403",Single Family,1972.0,3.0,2.0,23,6534.0,41.587099,-88.131206,3739.0,149390.0
"8601-Sunland-Blvd,-Unit-48,-Sun-Valley,-CA-91352",Condo,1156.0,3.0,3.0,43,137006.0,34.226259,-118.36651,5546.0,437288.0
"12605-Longcrest-Dr,-Riverview,-FL-33579",Single Family,1507.0,4.0,2.0,23,6266.0,27.805755,-82.313979,4884.0,242460.0
"3585-Melnikoff-Dr,-San-Jose,-CA-95121",Condo,1625.0,3.0,2.0,40,2058.0,37.311711,-121.800681,9756.0,628613.0
